k,ZMP_ref_x,ZMP_ref_y,ZMP_x,COM_x,ZMP_y,COM_y
4116,0.2,-0.05,0.200176,0.194027,-0.0503521,-0.0375281
4117,0.2,-0.05,0.200175,0.194069,-0.0503498,-0.0376085
4118,0.2,-0.05,0.200174,0.194111,-0.0503475,-0.0376884
4119,0.2,-0.05,0.200173,0.194152,-0.0503451,-0.0377678
4120,0.2,-0.05,0.200172,0.194194,-0.0503428,-0.0378466
4121,0.2,-0.05,0.200171,0.194235,-0.0503406,-0.0379248
4122,0.2,-0.05,0.20017,0.194276,-0.0503383,-0.0380025
4123,0.2,-0.05,0.200168,0.194316,-0.050336,-0.0380796
4124,0.2,-0.05,0.200167,0.194357,-0.0503338,-0.0381562
4125,0.2,-0.05,0.200166,0.194397,-0.0503316,-0.0382322
4126,0.2,-0.05,0.200165,0.194436,-0.0503294,-0.0383077
4127,0.2,-0.05,0.200164,0.194476,-0.0503272,-0.0383827
4128,0.2,-0.05,0.200163,0.194515,-0.050325,-0.0384571
4129,0.2,-0.05,0.200162,0.194554,-0.0503228,-0.038531
4130,0.2,-0.05,0.200161,0.194593,-0.0503207,-0.0386044
4131,0.2,-0.05,0.20016,0.194632,-0.0503186,-0.0386772
4132,0.2,-0.05,0.200159,0.19467,-0.0503164,-0.0387496
4133,0.2,-0.05,0.200158,0.194708,-0.0503143,-0.0388214
4134,0.2,-0.05,0.200156,0.194746,-0.0503122,-0.0388927
4135,0.2,-0.05,0.200155,0.194783,-0.0503102,-0.0389635
4136,0.2,-0.05,0.200154,0.194821,-0.0503081,-0.0390338
4137,0.2,-0.05,0.200153,0.194858,-0.0503061,-0.0391036
4138,0.2,-0.05,0.200152,0.194895,-0.050304,-0.0391729
4139,0.2,-0.05,0.200151,0.194931,-0.050302,-0.0392417
4140,0.2,-0.05,0.20015,0.194968,-0.0503,-0.0393099
4141,0.2,-0.05,0.200149,0.195004,-0.050298,-0.0393778
4142,0.2,-0.05,0.200148,0.19504,-0.050296,-0.0394451
4143,0.2,-0.05,0.200147,0.195075,-0.050294,-0.0395119
4144,0.2,-0.05,0.200146,0.195111,-0.0502921,-0.0395783
4145,0.2,-0.05,0.200145,0.195146,-0.0502901,-0.0396441
4146,0.2,-0.05,0.200144,0.195181,-0.0502882,-0.0397095
4147,0.2,-0.05,0.200143,0.195216,-0.0502863,-0.0397745
4148,0.2,-0.05,0.200143,0.195251,-0.0502844,-0.0398389
4149,0.2,-0.05,0.200142,0.195285,-0.0502825,-0.0399029
4150,0.2,-0.05,0.200141,0.195319,-0.0502806,-0.0399665
4151,0.2,-0.05,0.20014,0.195353,-0.0502787,-0.0400295
4152,0.2,-0.05,0.200139,0.195387,-0.0502769,-0.0400922
4153,0.2,-0.05,0.200138,0.19542,-0.050275,-0.0401543
4154,0.2,-0.05,0.200137,0.195454,-0.0502732,-0.040216
4155,0.2,-0.05,0.200136,0.195487,-0.0502714,-0.0402773
4156,0.2,-0.05,0.200135,0.19552,-0.0502696,-0.0403381
4157,0.2,-0.05,0.200134,0.195552,-0.0502678,-0.0403985
4158,0.2,-0.05,0.200133,0.195585,-0.050266,-0.0404584
4159,0.2,-0.05,0.200132,0.195617,-0.0502642,-0.0405179
4160,0.2,-0.05,0.200132,0.195649,-0.0502625,-0.040577
4161,0.2,-0.05,0.200131,0.195681,-0.0502607,-0.0406356
4162,0.2,-0.05,0.20013,0.195713,-0.050259,-0.0406938
4163,0.2,-0.05,0.200129,0.195744,-0.0502573,-0.0407516
4164,0.2,-0.05,0.200128,0.195775,-0.0502556,-0.040809
4165,0.2,-0.05,0.200127,0.195806,-0.0502539,-0.0408659
4166,0.2,-0.05,0.200126,0.195837,-0.0502522,-0.0409224
4167,0.2,-0.05,0.200126,0.195868,-0.0502505,-0.0409785
4168,0.2,-0.05,0.200125,0.195899,-0.0502488,-0.0410342
4169,0.2,-0.05,0.200124,0.195929,-0.0502472,-0.0410894
4170,0.2,-0.05,0.200123,0.195959,-0.0502455,-0.0411443
4171,0.2,-0.05,0.200122,0.195989,-0.0502439,-0.0411988
4172,0.2,-0.05,0.200121,0.196019,-0.0502423,-0.0412528
4173,0.2,-0.05,0.200121,0.196048,-0.0502407,-0.0413065
4174,0.2,-0.05,0.20012,0.196078,-0.0502391,-0.0413597
4175,0.2,-0.05,0.200119,0.196107,-0.0502375,-0.0414126
4176,0.2,-0.05,0.200118,0.196136,-0.0502359,-0.041465
4177,0.2,-0.05,0.200117,0.196165,-0.0502343,-0.0415171
4178,0.2,-0.05,0.200117,0.196194,-0.0502328,-0.0415688
4179,0.2,-0.05,0.200116,0.196222,-0.0502312,-0.0416201
4180,0.2,-0.05,0.200115,0.19625,-0.0502297,-0.041671
4181,0.2,-0.05,0.200114,0.196279,-0.0502281,-0.0417216
4182,0.2,-0.05,0.200114,0.196307,-0.0502266,-0.0417717
4183,0.2,-0.05,0.200113,0.196334,-0.0502251,-0.0418215
4184,0.2,-0.05,0.200112,0.196362,-0.0502236,-0.0418709
4185,0.2,-0.05,0.200111,0.19639,-0.0502221,-0.0419199
4186,0.2,-0.05,0.200111,0.196417,-0.0502206,-0.0419686
4187,0.2,-0.05,0.20011,0.196444,-0.0502192,-0.0420169
4188,0.2,-0.05,0.200109,0.196471,-0.0502177,-0.0420648
4189,0.2,-0.05,0.200108,0.196498,-0.0502163,-0.0421124
4190,0.2,-0.05,0.200108,0.196525,-0.0502148,-0.0421596
4191,0.2,-0.05,0.200107,0.196551,-0.0502134,-0.0422064
4192,0.2,-0.05,0.200106,0.196577,-0.050212,-0.0422529
4193,0.2,-0.05,0.200106,0.196604,-0.0502106,-0.042299
4194,0.2,-0.05,0.200105,0.19663,-0.0502092,-0.0423448
4195,0.2,-0.05,0.200104,0.196656,-0.0502078,-0.0423902
4196,0.2,-0.05,0.200103,0.196681,-0.0502064,-0.0424353
4197,0.2,-0.05,0.200103,0.196707,-0.050205,-0.04248
4198,0.2,-0.05,0.200102,0.196732,-0.0502037,-0.0425244
4199,0.2,-0.05,0.200101,0.196758,-0.0502023,-0.0425685
4200,0.2,-0.05,0.200101,0.196783,-0.050201,-0.0426122
4201,0.2,-0.05,0.2001,0.196808,-0.0501996,-0.0426555
4202,0.2,-0.05,0.200099,0.196832,-0.0501983,-0.0426985
4203,0.2,-0.05,0.200099,0.196857,-0.050197,-0.0427412
4204,0.2,-0.05,0.200098,0.196882,-0.0501957,-0.0427836
4205,0.2,-0.05,0.200097,0.196906,-0.0501944,-0.0428256
4206,0.2,-0.05,0.200097,0.19693,-0.0501931,-0.0428673
4207,0.2,-0.05,0.200096,0.196954,-0.0501918,-0.0429087
4208,0.2,-0.05,0.200095,0.196978,-0.0501905,-0.0429498
4209,0.2,-0.05,0.200095,0.197002,-0.0501892,-0.0429905
4210,0.2,-0.05,0.200094,0.197026,-0.050188,-0.0430309
4211,0.2,-0.05,0.200094,0.19705,-0.0501867,-0.043071
4212,0.2,-0.05,0.200093,0.197073,-0.0501855,-0.0431108
4213,0.2,-0.05,0.200092,0.197096,-0.0501842,-0.0431502
4214,0.2,-0.05,0.200092,0.197119,-0.050183,-0.0431894
4215,0.2,-0.05,0.200091,0.197142,-0.0501818,-0.0432282
4216,0.2,-0.05,0.200091,0.197165,-0.0501806,-0.0432667
4217,0.2,-0.05,0.20009,0.197188,-0.0501794,-0.0433049
4218,0.2,-0.05,0.200089,0.197211,-0.0501782,-0.0433428
4219,0.2,-0.05,0.200089,0.197233,-0.050177,-0.0433804
4220,0.2,-0.05,0.200088,0.197256,-0.0501758,-0.0434177
4221,0.2,-0.05,0.200088,0.197278,-0.0501746,-0.0434547
4222,0.2,-0.05,0.200087,0.1973,-0.0501735,-0.0434914
4223,0.2,-0.05,0.200086,0.197322,-0.0501723,-0.0435278
4224,0.2,-0.05,0.200086,0.197344,-0.0501711,-0.0435639
4225,0.2,-0.05,0.200085,0.197366,-0.05017,-0.0435997
4226,0.2,-0.05,0.200085,0.197387,-0.0501688,-0.0436352
4227,0.2,-0.05,0.200084,0.197409,-0.0501677,-0.0436705
4228,0.2,-0.05,0.200083,0.19743,-0.0501666,-0.0437054
4229,0.2,-0.05,0.200083,0.197452,-0.0501655,-0.04374
4230,0.2,-0.05,0.200082,0.197473,-0.0501644,-0.0437744
4231,0.2,-0.05,0.200082,0.197494,-0.0501632,-0.0438085
4232,0.2,-0.05,0.200081,0.197515,-0.0501621,-0.0438423
4233,0.2,-0.05,0.200081,0.197535,-0.0501611,-0.0438758
4234,0.2,-0.05,0.20008,0.197556,-0.05016,-0.043909
4235,0.2,-0.05,0.20008,0.197577,-0.0501589,-0.043942
4236,0.2,-0.05,0.200079,0.197597,-0.0501578,-0.0439746
4237,0.2,-0.05,0.200079,0.197618,-0.0501567,-0.044007
4238,0.2,-0.05,0.200078,0.197638,-0.0501557,-0.0440391
4239,0.2,-0.05,0.200078,0.197658,-0.0501546,-0.044071
4240,0.2,-0.05,0.200077,0.197678,-0.0501536,-0.0441026
4241,0.2,-0.05,0.200076,0.197698,-0.0501525,-0.0441339
4242,0.2,-0.05,0.200076,0.197718,-0.0501515,-0.0441649
4243,0.2,-0.05,0.200075,0.197738,-0.0501505,-0.0441957
4244,0.2,-0.05,0.200075,0.197757,-0.0501495,-0.0442262
4245,0.2,-0.05,0.200074,0.197777,-0.0501484,-0.0442565
4246,0.2,-0.05,0.200074,0.197796,-0.0501474,-0.0442864
4247,0.2,-0.05,0.200073,0.197815,-0.0501464,-0.0443162
4248,0.2,-0.05,0.200073,0.197835,-0.0501454,-0.0443456
4249,0.2,-0.05,0.200072,0.197854,-0.0501444,-0.0443748
4250,0.2,-0.05,0.200072,0.197873,-0.0501435,-0.0444038
4251,0.2,-0.05,0.200071,0.197892,-0.0501425,-0.0444324
4252,0.2,-0.05,0.200071,0.19791,-0.0501415,-0.0444609
4253,0.2,-0.05,0.20007,0.197929,-0.0501405,-0.0444891
4254,0.2,-0.05,0.20007,0.197948,-0.0501396,-0.044517
4255,0.2,-0.05,0.200069,0.197966,-0.0501386,-0.0445447
4256,0.2,-0.05,0.200069,0.197985,-0.0501377,-0.0445721
4257,0.2,-0.05,0.200069,0.198003,-0.0501367,-0.0445993
4258,0.2,-0.05,0.200068,0.198021,-0.0501358,-0.0446262
4259,0.2,-0.05,0.200068,0.19804,-0.0501349,-0.0446529
4260,0.2,-0.05,0.200067,0.198058,-0.050134,-0.0446793
4261,0.2,-0.05,0.200067,0.198076,-0.050133,-0.0447055
